category_id,movies_id
2,80182016
2,70204288
2,70290904
2,60020826
2,81018233
2,80175694
2,80226021
2,60031232
2,70206824
2,80204460
2,80163159
2,80131616
2,80144119
2,80998563
2,70077546
2,70084221
2,80152447
2,17671454
2,80238297
2,70051840
2,80039595
2,80147760
2,70154110
2,17457962
2,70114948
2,80032364
2,80114915
2,70257413
2,80202808
2,81213873
2,80217121
2,70020750
2,70099702
2,80102579
2,80160081
2,80201605
2,81019338
2,80114155
2,80239642
2,80097349
2,80130625
2,70114484
2,80204923
2,81088786
2,81176200
2,80145621
2,80020885
2,81016318
2,80231066
2,70084328
2,70059284
2,60029369
2,70114977
2,70052249
2,81025973
2,70019004
2,80032640
2,70299204
2,80098490
2,80152741
2,80125512
2,80203781
2,80128715
2,80244190
2,81183570
2,81005364
2,70006816
2,70212504
2,80114989
2,81002850
2,80141173
2,81213887
2,81107545
2,80223227
2,80162141
2,80175798
2,80177441
2,80243408
2,60021548
2,81005453
2,70118799
2,81024044
2,80201823
2,81094082
2,70185023
2,80227673
2,80044566
2,80198735
2,81035108
2,70134669
2,80106230
2,70125935
2,81137482
2,80123910
2,81052280
2,80157134
2,80245709
2,80045922
2,80106786
2,70272893
2,80106038
2,80177414
2,81035848
2,81024716
2,80060037
2,80184661
2,81155782
2,70058016
2,80015799
2,70098899
2,60031284
2,80202903
2,80046777
2,80203786
2,19207412
2,80044545
2,80192420
2,80238400
2,80052828
2,81067759
2,70019491
2,60000722
2,70260514
2,80998562
2,81168345
2,80141337
2,80046819
2,80148070
2,70261674
2,80044888
2,709380
2,81024718
2,80157564
2,80200267
2,80201829
2,70267490
2,80157083
2,80195653
2,80202905
2,81122669
2,80152434
2,80168028
2,81067758
2,80100268
2,70257860
2,60022914
2,60000545
2,80995799
2,70039175
2,70117268
2,81025088
2,81018067
2,80091936
2,70176968
2,81217436
2,70153543
2,81078908
2,80245408
2,80083672
2,80106984
2,80993495
2,70044697
2,70046968
2,81110498
2,70251896
2,81213979
2,80148595
2,80199806
2,81030789
2,81016323
2,80155902
2,60021787
2,80082749
2,80067906
2,80223136
2,70065255
2,81024696
2,80158388
2,81128584
2,81019031
2,80118002
2,70024098
2,81168338
2,80065214
2,80235958
2,80190147
2,81092768
2,973861
2,60000861
2,80998890
2,70153178
2,70068799
2,81035872
2,80171982
2,70307659
2,80997400
2,80157889
2,80105672
2,70112500
2,80180224
2,70185141
2,80104257
2,80998558
2,80128245
2,81035748
2,70267398
2,70121522
2,70241757
2,81033086
2,81083971
2,80044834
2,80222301
2,80087891
2,60000677
2,70285683
2,60026106
2,80993105
2,80104552
2,70041893
2,81035865
2,70106268
2,70306701
2,80165853
2,80113667
2,70105459
2,80198730
2,80157132
2,80191608
2,80157072
2,80093103
2,80198419
2,81047901
2,80025702
2,70031792
2,80227113
2,80105358
2,81168343
2,80134520
2,17236920
2,80178078
2,80104240
2,81161834
2,70142792
2,80176342
2,80182479
2,80201816
2,80053475
2,80144144
2,81015498
2,80108430
2,60036617
2,80141335
2,80087743
2,20764666
2,81024726
2,60033312
2,81024712
2,80074933
2,80164864
2,60010069
2,70254351
2,80999107
2,70206816
2,80119815
2,80173234
2,81165770
2,81047683
2,70001237
2,793907
2,70129396
2,81025884
2,80226234
2,80080145
2,81172911
2,80170277
2,70083535
2,70275751
2,80187107
2,80201813
2,81160036
2,81188871
2,81033516
2,81004460
2,70084148
