movies_id,persons_id
80135360,693
80135360,5441
70286355,5443
80150246,5449
80017272,1820
80017272,5461
80017272,5462
80017272,5463
80017272,5464
80017272,5465
80017272,5466
80017272,5467
80075828,5473
80095089,417
80208176,5494
80208176,5495
80116741,5497
80063290,5515
80063290,5516
80162195,5542
80106036,5544
80198687,5551
80163353,5561
80162246,5562
80162246,5563
80112371,5567
80112371,5568
80112371,5569
80208413,5584
80128277,5604
80094453,4431
70153553,5633
80107372,5190
80138584,5672
80106138,5684
80038288,5704
80109089,5713
80109089,5714
80061797,5716
70206821,5741
70206816,5751
60022914,5756
70206818,5759
70206820,5777
70206823,5783
70206824,5791
70206825,5797
70206826,5801
81029831,5809
80194289,5814
80191219,5826
80190859,5848
70243445,5885
70243445,5886
80201542,5893
81079723,5905
80236993,5921
80236993,5922
81002596,5939
81002597,5945
80148275,5949
80127886,5952
80080491,5964
60024976,5978
80173002,5988
81092045,5994
81034600,6014
80183783,6023
81209203,6024
81058497,6031
80167628,6033
81165326,6040
81053961,5124
80204460,3452
70209267,6080
70306305,6089
70262831,6096
70113005,6104
70052286,3340
80114460,6118
80196135,6120
80117461,6121
80117533,4300
80117533,6130
81197050,6138
81197050,6139
81213894,6141
80238204,6156
80230507,6170
80990725,6187
81016327,6197
81004245,6200
81033200,2541
81033200,6211
81039383,6229
81018377,6231
81021528,6238
80991809,6243
80097475,6248
80097475,6249
70117294,6250
70117582,6258
80163294,6268
81082007,6281
81172754,6291
81120982,6298
81227195,6303
81172841,6309
81172899,6321
81172908,6329
81172901,825
81033086,5124
60020826,6373
80226242,6378
70101696,6383
80995081,3569
81177504,6403
81177504,6404
80175798,4728
80239961,6435
80219019,6444
81062293,6451
80235524,2711
81215481,6460
81005044,6466
81005044,6467
80147529,6468
81018860,6472
81018860,6473
80217495,6138
80049871,6489
81218079,6491
81218079,6492
60028294,6497
80174220,6519
80174220,6520
80126449,6526
80103512,6527
60020948,6546
70235384,6557
569355,6565
60022645,6585
80225915,6557
80198859,6611
80159876,6678
81218074,6696
81218074,6697
80199682,6705
80203522,6712
80203522,6713
80107037,2004
80077402,6723
80107219,2004
60023606,6737
81026188,6757
80080109,3340
80080109,6764
80988835,6768
80208104,6775
80134827,711
80127558,6777
80158084,6779
80124725,4240
70267398,6785
80108983,6805
292118,6815
80221584,6829
70053833,3145
70122722,6837
70122722,6838
81217738,6843
80081990,6847
60004471,1866
60022413,6857
70058022,6875
60022502,4822
80028357,6890
81217739,6897
60031884,6899
28631236,6918
70121502,6927
506464,6940
60003508,4860
70105132,6031
60004083,6965
70087538,6979
60011552,6987
70044693,6994
70173046,7000
70039187,7005
70044686,7013
80989043,2937
81021831,477
81021832,467
70135899,7068
81215437,7076
81215438,7085
81215438,7086
81214187,7089
80160987,7095
81215439,7099
70292700,7114
81214214,7128
81020531,7135
80191051,7149
80242446,7150
80085566,7168
80124722,778
70243696,7180
70243692,7186
81073633,7193
70230138,5127
70230138,7203
70083532,3841
80177865,7206
80117534,1092
80115031,7214
80029708,7229
80029708,7230
80079470,7231
70127998,7237
80160759,7281
80209608,7282
80182622,0
80175694,7284
80016471,7289
81132624,7307
80013267,7308
80046819,7309
70293315,7318
80177400,7325
81037898,7334
81004099,7339
80200267,7346
80200267,7347
70113538,7361
80244457,7373
81196441,7382
81162089,7384
81217737,7394
81076114,5132
81076114,7398
80093820,7415
80183187,7422
70124331,7432
81217749,7456
80158800,6696
80158800,6697
70291121,7469
81035109,7502
81030893,3657
81035104,7518
80075824,7525
80075824,7526
81035108,7527
81028556,7541
81028574,7547
81028560,7547
80196044,7554
80122177,7560
80122177,7561
80136925,7566
70040076,7571
70040076,7572
80117532,7603
70260514,7605
80127995,6994
81156627,7610
80191804,6121
80004534,7627
70213466,7629
80222787,7632
80244848,4254
80147403,7645
80058424,7654
81078466,7661
80060034,459
80205085,7666
70117297,7673
81152923,7689
81171862,7695
80131563,2920
80107990,7707
80091658,7708
80237420,7727
70174733,5127
80183088,7748
80183088,4240
80198018,7749
80127990,7750
80134279,7761
70044870,7767
26597413,7777
80245356,7781
18002692,7795
81024100,7802
60027583,7807
80216003,7815
80216003,7816
60002033,7825
70046968,7833
81154982,7841
81063129,7848
81074542,7857
382650,7866
70044705,7871
449931,7875
81189912,7884
80215046,7890
60036838,7894
81179693,7906
485218,7913
1192866,7919
11819434,3542
81050375,7931
81050375,7932
70048968,7940
542137,7946
542137,7947
60021796,6497
60031247,2080
60000577,7972
80231468,7999
80153894,4243
70118779,1793
653673,8029
70117305,8037
701346,8049
70111489,8056
709163,8069
709380,8078
1150871,8087
70082264,8091
1179583,8104
70044595,8113
60011729,8120
60011729,8121
70044883,8126
22497725,8135
60021590,8120
70031792,8162
70100383,8173
60002403,8178
17236920,8187
923574,2606
81152930,8200
70058796,8213
70047101,4860
81189396,8223
81189396,8224
70093991,8225
60033247,8230
70060000,8238
70295067,6556
70031779,8252
1178866,7013
60033312,8187
81030409,8274
80182016,8282
684847,1921
81150305,8294
20557937,8298
20557937,8299
60027695,8298
60027695,8299
60031303,8298
60031303,8299
81170692,2946
60022980,8317
60003961,8321
70060005,8323
70084791,8344
81170694,8352
70123542,8357
70107499,8360
70123117,8364
80057750,7566
70229045,7566
70139073,8380
81024731,5170
70219525,5098
16914787,8397
81020543,8412
81020544,8412
80039595,8413
70123120,8414
70084775,8427
