country_id,movies_id
2,70140391
2,80119186
2,80184547
2,70283261
2,80041339
2,80190009
2,70305955
2,80151644
2,81121185
2,81000864
2,80130625
2,80203147
2,80066227
2,81045513
2,70280748
2,70157402
2,80222256
2,80049065
2,80091658
2,60035622
2,80989848
2,80184834
2,80097349
2,60026477
2,80115030
2,70084148
2,80065214
2,80107948
2,80156925
2,80072207
2,60033320
2,81094665
2,292118
2,80101096
2,81025309
2,80113669
2,80046696
2,70308063
2,81063129
2,80244973
2,80066080
2,80082014
2,80999729
2,80067617
2,80010778
2,80200015
2,80158319
2,81018860
2,80170187
2,80004478
2,80128688
2,81018563
2,81036542
2,70044705
2,70105599
2,81121189
2,81187847
2,80080109
2,80031800
2,80220676
2,80050008
2,80098839
2,80172937
2,80157072
2,80102549
2,80214583
2,80174687
2,80242619
2,80095094
2,80026506
2,81031355
2,80167821
2,81087761
2,70221569
2,60023638
2,80133311
2,80039655
2,80002621
2,80144588
2,60021377
2,80175147
2,80211563
2,80176756
2,80213655
2,17236920
2,80174902
2,60011649
2,80074503
2,80190146
2,709163
2,81060040
2,80988062
2,70294793
2,60027689
2,70308794
2,80177441
2,70109689
2,80022456
2,81141689
2,80239831
2,80191522
2,80045805
2,70117582
2,80161921
2,80004462
2,80097472
2,80115118
2,80119249
2,80216224
2,80220228
2,80081990
2,80192815
2,80191804
2,80226612
2,80168221
2,81004748
2,70294113
2,80156684
2,60022700
2,80058247
2,80073289
2,80185070
2,80172958
2,80192097
2,80117531
2,81016360
2,70122316
2,70281323
2,80184055
2,81050190
2,80175798
2,70128696
2,80117555
2,80216003
2,80108450
2,81029611
2,80237423
2,80189221
2,70259784
2,80158155
2,70267439
2,81060043
2,70105369
2,80095697
2,80227574
2,70143825
2,80235025
2,70251894
2,16914787
2,80095698
2,80087354
2,60001854
2,70109429
2,80219119
2,60001807
2,70044595
2,80205451
2,70155574
2,70259801
2,60033786
2,80192187
2,70308046
2,81003981
2,80059410
2,81076055
2,80239459
2,81014479
2,80196216
2,80232330
2,70100377
2,70278877
2,80117038
2,80059505
2,80998968
2,70142386
2,70270388
2,80096984
2,81076049
2,80153467
2,80059432
2,80237347
2,80173267
2,81215439
2,81121172
2,80183783
2,81147766
2,80201570
2,70058017
2,80144804
2,80024057
2,81214223
2,70242081
2,81047680
2,80108371
2,70108985
2,80080106
2,80199682
2,81050194
2,80145512
2,80091245
2,80128722
2,70304245
2,80011852
2,70026468
2,80178941
2,81048916
2,70100084
2,80002537
2,80206910
2,80127995
2,498716
2,80017171
2,80066079
2,70206823
2,70234439
2,80190407
2,80154682
2,60034549
2,80189630
2,80237329
2,80037691
2,80201906
2,70291114
2,80987458
2,70158330
2,70256512
2,80063740
2,18002692
2,80168231
2,80208662
2,70267728
2,80044126
2,80235999
2,70024098
2,80063705
2,80233925
2,80060297
2,70045919
2,81235603
2,70136122
2,80220761
2,80114501
2,80121348
2,80158854
2,80221584
2,81044103
2,80135414
2,81011449
2,80128317
2,404067
2,80027271
2,81153373
2,80201488
2,80101609
2,81021243
2,80189623
2,80239710
2,80195967
2,80160347
2,70229921
2,80186608
2,80005444
2,81088786
2,80179373
2,70143843
2,80016471
2,81045509
2,80134080
2,60033788
2,80087352
2,80119191
2,80115432
2,81041182
2,1192866
2,60033107
2,80100937
2,80117742
2,1150871
2,80244311
2,80058852
2,70167128
2,80095988
2,80158976
2,80997770
2,80102952
2,70125581
2,80214580
2,60026155
2,80217041
2,70233317
2,70303706
2,80002566
2,81146011
2,81192594
2,80171611
2,80135640
2,70074299
2,80097468
2,80179138
2,70021640
2,80185074
2,80091879
2,80060034
2,80049177
2,70113534
2,28631236
2,80213657
2,80994222
2,80118930
2,80211590
2,80144355
2,80992973
2,80146601
2,80210602
2,81037273
2,80170845
2,80231419
2,80238357
2,11819434
2,80098490
2,80107084
2,70117294
2,70298116
2,80198735
2,80201497
2,70197057
2,80210361
2,70221571
2,80174097
2,70279852
2,80164088
2,70283264
2,60001363
2,80198661
2,80147403
2,70167133
2,70260512
2,80184771
2,80099204
2,80195243
2,80217120
2,80190130
2,80197310
2,80092837
2,80131551
2,70105132
2,70299748
2,80057171
2,70143369
2,70174741
2,70169918
2,80168167
2,80065930
2,80112370
2,81121181
2,70209245
2,70105596
2,60024914
2,80020540
2,973861
2,80171965
2,80152091
2,80201833
2,80065182
2,80117748
2,60023608
2,60029032
2,70296733
2,80185321
2,26009364
2,80134967
2,81121188
2,81074663
2,80152003
2,81121187
2,70114342
2,70253398
2,70299904
2,70047101
2,80174608
2,80021955
2,80173542
2,80235472
2,80202176
2,81071972
2,80076581
2,70083108
2,80115857
2,60011552
2,80126485
2,80164864
2,80176076
2,80109260
2,80030186
2,81088285
2,80027159
2,70177633
2,80182115
2,484369
2,80221640
2,70041963
2,80114111
2,80208155
2,80211627
2,80018328
2,80216094
2,70105371
2,80213403
2,80100936
2,80188953
2,81078819
2,80217135
2,80045783
2,80207124
2,80098467
2,80170767
2,80038159
2,70136140
2,80099306
2,81050192
2,70299286
2,80128275
2,80184973
2,60021299
2,26597413
2,70143836
2,485218
2,80205978
2,60010082
2,80213588
2,70142362
2,22469949
2,70113006
2,80003149
2,80119234
2,80146284
2,70267830
2,80156772
2,80102204
2,81001090
2,60035996
2,81030342
2,80117458
2,80185322
2,81094666
2,80147908
2,70196150
2,81028317
2,70058023
2,80209379
2,81017316
2,81004511
2,70098332
2,80096585
2,80118913
2,81087498
2,80175802
2,80217545
2,70127998
2,81215437
2,70267838
2,70172485
2,80028529
2,80191074
2,80019930
2,70021652
2,80993062
2,80134827
2,80223989
2,81090071
2,80208273
2,80201490
2,80200571
2,80119375
2,80049277
2,80167498
2,80222188
2,81000863
2,81092328
2,1179333
2,70272893
2,80184129
2,80097530
2,70295560
2,80004534
2,70270362
2,81121180
2,80174285
2,80020542
2,80156688
2,80986854
2,81121177
2,70058796
2,60026139
2,80057610
2,60027583
2,80117534
2,81098586
2,81183572
2,80203522
2,80113482
2,80097424
2,60022980
2,80031038
2,80241248
2,70098605
2,70011207
2,70105370
2,80198745
2,80171733
2,70084221
2,80058424
2,80106124
2,81077795
2,80050007
2,80028359
2,80182919
2,80203919
2,81069393
2,80219707
2,70287957
2,81160763
2,80174683
2,80174367
2,80231658
2,80100772
2,80186863
2,81024557
2,81001809
2,70136135
2,80108976
2,70273401
2,80172469
2,81019338
2,80108159
2,70031779
2,60029178
2,70057519
2,80199767
2,80097141
2,80020131
2,81002195
2,80174434
2,70042688
2,80186796
2,81081656
2,80158485
2,70178618
2,81154982
2,80142474
2,80018988
2,81037733
2,80186940
2,80002612
2,80178897
2,81033086
2,70296443
2,80007945
2,81031650
2,80211384
2,80168222
2,70143864
2,80008434
2,80190215
2,80152350
2,80122759
2,17687959
2,80182473
2,70155629
2,80217594
2,80046777
2,1153656
2,70236016
2,70011206
2,80178974
2,80173479
2,60010836
2,80117485
2,80218306
2,80108430
2,70060380
2,80217066
2,80168188
2,80062011
2,70197049
2,81148672
2,70286028
2,80143362
2,60033247
2,80131240
2,20557937
2,81002412
2,80217889
2,70251816
2,80145255
2,81017724
2,70291096
2,80179905
2,80244846
2,80193475
2,81017094
2,81002281
2,70304979
2,70279188
2,80149064
2,80178724
2,70043308
2,81221873
2,80991570
2,80175694
2,80095815
2,60003082
2,80083977
2,81013112
2,70222859
2,1067876
2,80097423
2,81121176
2,60029167
2,80236236
2,80109415
2,80165221
2,80155477
2,80036407
2,70245034
2,80158800
2,70211216
2,81010817
2,81047798
2,80141858
2,81002391
2,80103430
2,70298251
2,70259568
2,70278933
2,80081955
2,70294800
2,70307570
2,80098287
2,81021976
2,70251218
2,653673
2,70141971
2,70043303
2,70041162
2,80185223
2,81171121
2,80003151
2,80164779
2,80126569
2,81154900
2,80018987
2,80133139
2,81018183
2,70114948
2,70129452
2,60031264
2,80216758
2,516788
2,81040704
2,80087897
2,80039644
2,70213471
2,80210716
2,81037077
2,80095699
2,70157452
2,81062828
2,80187435
2,80244996
2,70210884
2,80108609
2,80068219
2,80026224
2,80192445
2,80039050
2,81211714
2,80217436
2,80216752
2,70120142
2,80231156
2,80140955
2,80011622
2,80189451
2,80045922
2,60036691
2,70300666
2,80158670
2,80119194
2,80013267
2,81109078
2,81012998
2,81089941
2,60000891
2,80136786
2,80213401
2,80108983
2,80042368
2,60004471
2,80118101
2,60004476
2,80058026
2,81050375
2,80127459
2,80151483
2,70243132
2,70084788
2,70235384
2,80038420
2,80134814
2,80027564
2,81098589
2,80203143
2,80187052
2,569355
2,60027942
2,60000870
2,70043231
2,80132964
2,296682
2,80133550
2,70177057
2,70101696
2,70281600
2,81015100
2,70152640
2,60004509
2,70275751
2,80171362
2,70271599
2,70153412
2,20159719
2,80117551
2,80108984
2,80232501
2,80117831
2,80238110
2,70272479
2,80184100
2,80115671
2,80017286
2,80211621
2,80171561
2,80127600
2,80081170
2,70286029
2,70093991
2,80036981
2,70044697
2,70126573
2,80134969
2,80195801
2,80053475
2,80171659
2,80080436
2,81059388
2,70283260
2,70306646
2,60010514
2,80241304
2,81147293
2,80145087
2,70241596
2,80172593
2,80114588
2,70302844
2,80029103
2,70296574
2,80117454
2,80167481
2,80046193
2,80106136
2,80159566
2,81038545
2,80107808
2,70203594
2,80068327
2,81018181
2,81046796
2,70143842
2,80210691
2,70054723
2,81013015
2,80200961
2,81038575
2,60023619
2,916043
2,70270773
2,80136440
2,80038296
2,70020699
2,70077546
2,81046962
2,80178943
2,907090
2,80095900
2,80105358
2,80173387
2,70271773
2,80210182
2,70158332
2,80128715
2,855084
2,70244163
2,80079473
2,81029647
2,80209013
2,70246439
2,80085439
2,80044545
2,81215856
2,81071666
2,70250364
2,80098491
2,70166234
2,80063773
2,70206826
2,70309693
2,70292939
2,80106438
2,80206907
2,80183328
2,81016592
2,80184135
2,80097003
2,80015794
2,80194612
2,81002591
2,81147285
2,80216665
2,80133042
2,70053885
2,80245709
2,70267490
2,70242629
2,80029145
2,81004814
2,80107737
2,80192186
2,80117560
2,80108147
2,81030755
2,80178687
2,80221639
2,70128697
2,60031303
2,382650
2,80101493
2,80225085
2,80046348
2,80208906
2,80028208
2,80044093
2,81054383
2,80201328
2,60031278
2,80132601
2,70052286
2,70021630
2,21302357
2,70155610
2,80039439
2,80105933
2,80184131
2,80152442
2,60000407
2,60011619
2,70153408
2,80201680
2,80091742
2,81073633
2,80134149
2,70142437
2,80191665
2,70242310
2,81055402
2,80117800
2,80175314
2,70290567
2,80993149
2,80177782
2,80027158
2,80049872
2,80044804
2,80057691
2,80169778
2,70215455
2,80223136
2,80996192
2,80166467
2,80217569
2,81060041
2,80197912
2,80173150
2,80107656
2,80141928
2,80201543
2,70058024
2,81044365
2,81006598
2,70242630
2,81176196
2,80995799
2,70306701
2,80204730
2,70185045
2,80135586
2,70304914
2,80161702
2,80114988
2,80201773
2,70304246
2,70183165
2,80234451
2,80097363
2,80064273
2,896678
2,70298946
2,80075476
2,80189632
2,81218079
